region,county,state,risk_score,lat,lon
"Bath County, 51.0",Bath County,51.0,0.008423160761594772,39.8283,-98.5795
"Baxter County, 5.0",Baxter County,5.0,0.0135,39.8283,-98.5795
"Bay County, 12.0",Bay County,12.0,0.013200000000000002,39.8283,-98.5795
"Bay County, 26.0",Bay County,26.0,0.01926601678133011,39.8283,-98.5795
"Bayamon Municipio, 72.0",Bayamon Municipio,72.0,0.0117,39.8283,-98.5795
"Bayfield County, 55.0",Bayfield County,55.0,0.012901730835437775,39.8283,-98.5795
"Baylor County, 48.0",Baylor County,48.0,0.0099,39.8283,-98.5795
"Beadle County, 46.0",Beadle County,46.0,0.0063,39.8283,-98.5795
"Bear Lake County, 16.0",Bear Lake County,16.0,0.008637446910142899,39.8283,-98.5795
"Beaufort County, 37.0",Beaufort County,37.0,0.0117,39.8283,-98.5795
"Beaufort County, 45.0",Beaufort County,45.0,0.0141,39.8283,-98.5795
"Beauregard Parish, 22.0",Beauregard Parish,22.0,0.013608871027827263,39.8283,-98.5795
"Beaver County, 40.0",Beaver County,40.0,0.008100000000000001,39.8283,-98.5795
"Beaver County, 42.0",Beaver County,42.0,0.0147,39.8283,-98.5795
"Beaver County, 49.0",Beaver County,49.0,0.0102,39.8283,-98.5795
"Beaverhead County, 30.0",Beaverhead County,30.0,0.007437444292008877,39.8283,-98.5795
"Becker County, 27.0",Becker County,27.0,0.0117,39.8283,-98.5795
"Beckham County, 40.0",Beckham County,40.0,0.0108,39.8283,-98.5795
"Bedford County, 42.0",Bedford County,42.0,0.0138,39.8283,-98.5795
"Bedford County, 47.0",Bedford County,47.0,0.0105,39.8283,-98.5795
"Bedford County, 51.0",Bedford County,51.0,0.0108,39.8283,-98.5795
"Bee County, 48.0",Bee County,48.0,0.016200000000000003,39.8283,-98.5795
"Belknap County, 33.0",Belknap County,33.0,0.0087,39.8283,-98.5795
"Bell County, 21.0",Bell County,21.0,0.021087445318698883,39.8283,-98.5795
"Bell County, 48.0",Bell County,48.0,0.015600000000000001,39.8283,-98.5795
"Belmont County, 39.0",Belmont County,39.0,0.0171,39.8283,-98.5795
"Beltrami County, 27.0",Beltrami County,27.0,0.016200000000000003,39.8283,-98.5795
"Ben Hill County, 13.0",Ben Hill County,13.0,0.013008875772356987,39.8283,-98.5795
"Benewah County, 16.0",Benewah County,16.0,0.016373151913285255,39.8283,-98.5795
"Bennett County, 46.0",Bennett County,46.0,0.008208876475691795,39.8283,-98.5795
"Bennington County, 50.0",Bennington County,50.0,0.009173152968287468,39.8283,-98.5795
"Benson County, 38.0",Benson County,38.0,0.010244589298963547,39.8283,-98.5795
"Bent County, 8.0",Bent County,8.0,0.015773162245750427,39.8283,-98.5795
"Benton County, 18.0",Benton County,18.0,0.010244589298963547,39.8283,-98.5795
"Benton County, 19.0",Benton County,19.0,0.0144,39.8283,-98.5795
"Benton County, 27.0",Benton County,27.0,0.0144,39.8283,-98.5795
"Benton County, 28.0",Benton County,28.0,0.0138,39.8283,-98.5795
"Benton County, 29.0",Benton County,29.0,0.0174,39.8283,-98.5795
"Benton County, 41.0",Benton County,41.0,0.0144,39.8283,-98.5795
"Benton County, 47.0",Benton County,47.0,0.014980293810367584,39.8283,-98.5795
"Benton County, 5.0",Benton County,5.0,0.0093,39.8283,-98.5795
"Benton County, 53.0",Benton County,53.0,0.013930306769907475,39.8283,-98.5795
"Benzie County, 26.0",Benzie County,26.0,0.01748744398355484,39.8283,-98.5795
"Bergen County, 34.0",Bergen County,34.0,0.0141,39.8283,-98.5795
"Berkeley County, 45.0",Berkeley County,45.0,0.013200000000000002,39.8283,-98.5795
"Berkeley County, 54.0",Berkeley County,54.0,0.012,39.8283,-98.5795
"Berks County, 42.0",Berks County,42.0,0.015600000000000001,39.8283,-98.5795
"Berkshire County, 25.0",Berkshire County,25.0,0.013287440873682499,39.8283,-98.5795
"Bernalillo County, 35.0",Bernalillo County,35.0,0.0121088782325387,39.8283,-98.5795
"Berrien County, 13.0",Berrien County,13.0,0.013180293142795563,39.8283,-98.5795
"Berrien County, 26.0",Berrien County,26.0,0.01729458011686802,39.8283,-98.5795
"Bertie County, 37.0",Bertie County,37.0,0.0165,39.8283,-98.5795
"Bethel Census Area, 2.0",Bethel Census Area,2.0,0.036,39.8283,-98.5795
"Bexar County, 48.0",Bexar County,48.0,0.013200000000000002,39.8283,-98.5795
"Bibb County, 1.0",Bibb County,1.0,0.009430301375687122,39.8283,-98.5795
"Bibb County, 13.0",Bibb County,13.0,0.013973163440823555,39.8283,-98.5795
"Bienville Parish, 22.0",Bienville Parish,22.0,0.017037443816661835,39.8283,-98.5795
"Big Horn County, 30.0",Big Horn County,30.0,0.0171,39.8283,-98.5795
"Big Horn County, 56.0",Big Horn County,56.0,0.012473158538341522,39.8283,-98.5795
"Big Stone County, 27.0",Big Stone County,27.0,0.0117,39.8283,-98.5795
"Billings County, 38.0",Billings County,38.0,0.007116016466170549,39.8283,-98.5795
"Bingham County, 16.0",Bingham County,16.0,0.01078030001372099,39.8283,-98.5795
"Black Hawk County, 19.0",Black Hawk County,19.0,0.0141,39.8283,-98.5795
"Blackford County, 18.0",Blackford County,18.0,0.013973163440823555,39.8283,-98.5795
"Bladen County, 37.0",Bladen County,37.0,0.0171,39.8283,-98.5795
"Blaine County, 16.0",Blaine County,16.0,0.009344588965177536,39.8283,-98.5795
"Blaine County, 30.0",Blaine County,30.0,0.007930301129817963,39.8283,-98.5795
"Blaine County, 31.0",Blaine County,31.0,0.009537444449961185,39.8283,-98.5795
"Blaine County, 40.0",Blaine County,40.0,0.0096,39.8283,-98.5795
"Blair County, 42.0",Blair County,42.0,0.0141,39.8283,-98.5795
"Blanco County, 48.0",Blanco County,48.0,0.012,39.8283,-98.5795
"Bland County, 51.0",Bland County,51.0,0.016200000000000003,39.8283,-98.5795
"Bleckley County, 13.0",Bleckley County,13.0,0.01172315888106823,39.8283,-98.5795
"Bledsoe County, 47.0",Bledsoe County,47.0,0.010158873163163662,39.8283,-98.5795
"Blount County, 1.0",Blount County,1.0,0.008208876475691795,39.8283,-98.5795
"Blount County, 47.0",Blount County,47.0,0.009623153135180473,39.8283,-98.5795
"Blue Earth County, 27.0",Blue Earth County,27.0,0.0108,39.8283,-98.5795
"Boise County, 16.0",Boise County,16.0,0.012966018170118332,39.8283,-98.5795
"Bolivar County, 28.0",Bolivar County,28.0,0.015299999999999998,39.8283,-98.5795
"Bollinger County, 29.0",Bollinger County,29.0,0.012299999999999998,39.8283,-98.5795
"Bon Homme County, 46.0",Bon Homme County,46.0,0.0069,39.8283,-98.5795
"Bond County, 17.0",Bond County,17.0,0.0135,39.8283,-98.5795
"Bonner County, 16.0",Bonner County,16.0,0.015494582243263721,39.8283,-98.5795
"Bonneville County, 16.0",Bonneville County,16.0,0.00968744233250618,39.8283,-98.5795
"Boone County, 17.0",Boone County,17.0,0.015301735140383244,39.8283,-98.5795
"Boone County, 18.0",Boone County,18.0,0.009430301375687122,39.8283,-98.5795
"Boone County, 19.0",Boone County,19.0,0.0102,39.8283,-98.5795
"Boone County, 21.0",Boone County,21.0,0.01343744620680809,39.8283,-98.5795
"Boone County, 29.0",Boone County,29.0,0.012,39.8283,-98.5795
"Boone County, 31.0",Boone County,31.0,0.006837447173893452,39.8283,-98.5795
"Boone County, 5.0",Boone County,5.0,0.0126,39.8283,-98.5795
"Boone County, 54.0",Boone County,54.0,0.015899999999999997,39.8283,-98.5795
"Borden County, 48.0",Borden County,48.0,0.00964458379894495,39.8283,-98.5795
"Bosque County, 48.0",Bosque County,48.0,0.0135,39.8283,-98.5795
"Bossier Parish, 22.0",Bossier Parish,22.0,0.012408871203660965,39.8283,-98.5795
"Botetourt County, 51.0",Botetourt County,51.0,0.0093,39.8283,-98.5795
"Bottineau County, 38.0",Bottineau County,38.0,0.008830301463603973,39.8283,-98.5795
"Boulder County, 8.0",Boulder County,8.0,0.013608871027827263,39.8283,-98.5795
"Boundary County, 16.0",Boundary County,16.0,0.01590173877775669,39.8283,-98.5795
"Bourbon County, 20.0",Bourbon County,20.0,0.0186,39.8283,-98.5795
"Bourbon County, 21.0",Bourbon County,21.0,0.013308871537446976,39.8283,-98.5795
"Bowie County, 48.0",Bowie County,48.0,0.0141,39.8283,-98.5795
"Bowman County, 38.0",Bowman County,38.0,0.0061731585301458836,39.8283,-98.5795
"Box Butte County, 31.0",Box Butte County,31.0,0.010137442499399185,39.8283,-98.5795
"Box Elder County, 49.0",Box Elder County,49.0,0.0111,39.8283,-98.5795
"Boyd County, 21.0",Boyd County,21.0,0.018730297684669495,39.8283,-98.5795
"Boyd County, 31.0",Boyd County,31.0,0.009237444959580898,39.8283,-98.5795
"Boyle County, 21.0",Boyle County,21.0,0.015944579616189003,39.8283,-98.5795
"Bracken County, 21.0",Bracken County,21.0,0.018087444826960564,39.8283,-98.5795
"Bradford County, 12.0",Bradford County,12.0,0.0147,39.8283,-98.5795
"Bradford County, 42.0",Bradford County,42.0,0.013200000000000002,39.8283,-98.5795
"Bradley County, 47.0",Bradley County,47.0,0.011873156763613224,39.8283,-98.5795
"Bradley County, 5.0",Bradley County,5.0,0.018,39.8283,-98.5795
